root_label,display,horizon,ratio_mean,ratio_iqm,ratio_q25,ratio_q75,ratio_seed_bootstrap_ci95_low,ratio_seed_bootstrap_ci95_high,ratio_seed_bootstrap_se,ratio_hierarchical_bootstrap_ci95_low,ratio_hierarchical_bootstrap_ci95_high,ratio_hierarchical_bootstrap_se,ratio_seed_bootstrap_reps,n_systems
lista,LISTA,100,0.5085796279464299,0.5085796279464299,0.40543545519955426,0.6915606327159217,0.38987127446394904,0.9901750164273007,0.15055797663860773,0.30767843354303237,1.0712473019035302,0.219619966895689,10000,10
lista,LISTA,500,0.46413172313420903,0.46413172313420903,0.3725446784943741,0.6317951915501883,0.3622924758704335,0.7411618983710533,0.0998911430828482,0.29571341198311935,0.875037985748036,0.15618728546174532,10000,10
lista,LISTA,1000,0.45850971923477263,0.45850971923477263,0.26345766722367636,0.6537548545046759,0.3600313162625491,0.8100982070387346,0.15350712591106894,0.28743717219632287,0.9502776815262054,0.2518574750730511,10000,10
lista,LISTA,1500,0.4258326773972006,0.4258326773972006,0.28596902249401795,0.49748919445595546,0.3598824384002225,0.9593186410435248,0.26076690619332027,0.29184092366558156,1.1557738603653176,0.3871894761601882,10000,10
lista,LISTA,2000,0.44031495203132903,0.44031495203132903,0.27621517148469377,0.5665009015653424,0.3720094693024827,3.5804377762399358,0.838865283185302,0.31212227333655573,3.274986000490728,1.2000770618595396,10000,10
lista,LISTA,3000,0.488529226921212,0.488529226921212,0.34078932928454103,0.5705367031167634,0.40909030709260863,11.830496549991636,4.374534023947575,0.34963553807727815,8.22055585967481,6.337401346280797,10000,10
lista,LISTA,4000,0.5645129256283188,0.5645129256283188,0.41185991686808204,0.6872453282104883,0.4755817718259457,1.2532534785164684,24.10572683899071,0.40789395866235195,1.540190365148341,22.82816577608673,10000,10
lista,LISTA,5000,0.5954020553168214,0.5954020553168214,0.4213005938437503,0.7264937306441086,0.5134237624556619,1.1875680022237067,259.4536920966277,0.441778485803316,1.402781083496436,351.7234191657417,10000,10
lista_bd,LISTA-BD,100,0.5301871603375494,0.5301871603375494,0.3839641087154577,0.5916702591593394,0.3854033884111518,0.8430843193578635,0.1274330476035045,0.3006656571844578,1.0336759575433219,0.19364712405410536,10000,10
lista_bd,LISTA-BD,500,0.5870844132118281,0.5870844132118281,0.3454260509620696,0.6253778218201862,0.4005925463697142,0.8246913868472832,0.1262850621703611,0.34054911631708384,1.0506141711587393,0.19452242359599523,10000,10
lista_bd,LISTA-BD,1000,0.5023852284560893,0.5023852284560893,0.3387602163772479,0.5819972220253925,0.39259172115519475,0.9267586849311946,0.15332444879148552,0.3243365800845443,1.1300264694672009,0.23182583727683462,10000,10
lista_bd,LISTA-BD,1500,0.44514891243639465,0.44514891243639465,0.2776189820498949,0.5602177235664605,0.3870057333526138,0.8085071068565177,0.15068452614302832,0.31110561970292056,0.93716521559312,0.22148221136387247,10000,10
lista_bd,LISTA-BD,2000,0.44316737593422617,0.44316737593422617,0.23656053923822912,0.55411770739799,0.389548399901376,0.801615707755558,0.15301935959736382,0.3081087817031008,0.9056644392227463,0.2323715900944391,10000,10
lista_bd,LISTA-BD,3000,0.4975090298752189,0.4975090298752189,0.26180053407037285,0.7502054604999796,0.4212975900457725,3.0674257033842287,0.9065410941595835,0.3325323991916926,2.0651090840413806,1.3303714933267576,10000,10
lista_bd,LISTA-BD,4000,0.5737505576629769,0.5737505576629769,0.33916033441599325,0.742092158634099,0.48642974751642926,0.8177955409718637,99.89886305278308,0.39084492380790337,0.9486632306846934,172.19307225979463,10000,10
lista_bd,LISTA-BD,5000,0.6116163659371475,0.6116163659371475,0.40387695837496235,0.7502653790574159,0.5225762499247871,0.7972469777034539,21842.383466590392,0.42635059072128706,0.9161014019211526,22481.563679331983,10000,10
lista_sb,LISTA-SB,100,0.9724504448713264,0.9724504448713264,0.6201049570277479,1.0446493693394179,0.7121909884056574,7.061018283811808,1.9307591750180915,0.5359469449543263,5.368004387122921,2.140002356579941,10000,10
