method,horizon,system,seed_iqm_mse,num_seeds
dmd,100,claude:arrested_spiral,3.1901204001852737,3
dmd,100,claude:cal_asymmetric_3,2.9766766481109435,3
dmd,100,claude:cal_hexagon_6,2.250961442551432,3
dmd,100,claude:cal_high_cross_3,5.616234506671769,3
dmd,100,claude:cal_octagon_8,2.7529554736053155,3
dmd,100,claude:cal_pentagon_5,2.937184431066987,3
dmd,100,claude:cal_square_4,2.463703176729987,3
dmd,100,claude:duffing_triple_well,0.6244519927375963,3
dmd,100,claude:snic_multi,0.7495531265679243,3
dmd,100,claude:transition_routes_4,2.508225630847697,3
dmd,100,claude:var_depth_gradient_4,3.200260127536547,3
dmd,100,claude:var_diamond_4,3.53211942557229,3
dmd,100,claude:var_l_shape_5,3.150823823037662,3
dmd,100,gated_local_linear,1.4320727738914902,3
dmd,100,gated_transfer_linear,1.240480063674708,3
dmd,500,claude:arrested_spiral,2.2688272511550256,3
dmd,500,claude:cal_asymmetric_3,2.752200583188175,3
dmd,500,claude:cal_hexagon_6,1.4341903566765566,3
dmd,500,claude:cal_high_cross_3,4.046103318415781,3
dmd,500,claude:cal_octagon_8,2.0938127257157015,3
dmd,500,claude:cal_pentagon_5,2.111022003140549,3
dmd,500,claude:cal_square_4,2.10011123733163,3
dmd,500,claude:duffing_triple_well,0.2949620055643391,3
dmd,500,claude:snic_multi,0.6088979686049468,3
dmd,500,claude:transition_routes_4,2.8434869670003198,3
dmd,500,claude:var_depth_gradient_4,2.8378497184932403,3
dmd,500,claude:var_diamond_4,2.8755446842829957,3
dmd,500,claude:var_l_shape_5,2.435554482168325,3
dmd,500,gated_local_linear,1.620098732648686,3
dmd,500,gated_transfer_linear,1.8005746533845493,3
dmd,1000,claude:arrested_spiral,1.9969639490342936,3
dmd,1000,claude:cal_asymmetric_3,2.1340632904383905,3
dmd,1000,claude:cal_hexagon_6,1.093000268963998,3
dmd,1000,claude:cal_high_cross_3,2.8502759468906276,3
dmd,1000,claude:cal_octagon_8,1.616614343507467,3
dmd,1000,claude:cal_pentagon_5,1.506785397543145,3
dmd,1000,claude:cal_square_4,1.6791389147420424,3
dmd,1000,claude:duffing_triple_well,0.14936022631869095,3
