root_label,display,system_key,horizon,candidate_system_iqm,dense_system_iqm,ratio_to_dense,log10_ratio_to_dense
lista,LISTA,dysts:Chua,100,8.921772470264701e-05,0.00011367587181403259,0.7848431094384062,-0.105217150280214
lista,LISTA,dysts:Dadras,100,0.00027085782286507144,0.0007269466212683999,0.3725965771633548,-0.4287611390422865
lista,LISTA,dysts:DequanLi,100,0.00028866442361111434,0.0004072439727938285,0.7088242991806135,-0.14946140283210943
lista,LISTA,dysts:Hadley,100,0.00023165907311645712,0.0003209318082163857,0.7218326983664481,-0.14156344868483672
lista,LISTA,dysts:LuChenCheng,100,6.991873306105845e-05,0.00013874083379046198,0.5039520893081526,-0.29761074993967074
lista,LISTA,dysts:QiChen,100,0.00013208820122852856,0.0008931479283740858,0.14789062039139028,-0.83005936921768
lista,LISTA,dysts:Sakarya,100,0.0005708197131752429,0.006908113427925799,0.08263033303242022,-1.0828604968641424
lista,LISTA,dysts:SanUmSrisuchinwong,100,0.00029266858057645713,0.0005597402840586142,0.5228649588240282,-0.281610462586669
lista,LISTA,dysts:ShimizuMorioka,100,8.830677325021292e-05,0.0001380290164628504,0.6397696333218464,-0.19397637755878439
lista,LISTA,dysts:WangSun,100,0.0004991252998089,0.0008310555796404571,0.6005919604376384,-0.22142048559181535
lista,LISTA,dysts:Chua,500,0.0008462355056377999,0.0018645639730882856,0.4538516874999876,-0.34308604543269944
lista,LISTA,dysts:Dadras,500,0.00461443693244027,0.011152160087866386,0.413770686224349,-0.38324028037390534
lista,LISTA,dysts:DequanLi,500,0.0030809801537543,0.0051409941765346145,0.5992965655975696,-0.22235821111762816
lista,LISTA,dysts:Hadley,500,0.0026059896419090432,0.0036186023415730995,0.7201646923093938,-0.14256817470464345
lista,LISTA,dysts:LuChenCheng,500,0.0009095235478265571,0.002529834047891157,0.35951905564111064,-0.4442780856970681
lista,LISTA,dysts:QiChen,500,0.0016441787925681427,0.011720293134983042,0.14028478414593182,-0.8529894317501165
lista,LISTA,dysts:Sakarya,500,0.009318429211686715,0.05689595879188601,0.1637801596027524,-0.7857387100049659
lista,LISTA,dysts:SanUmSrisuchinwong,500,0.004198672316436214,0.006533596232267314,0.6426280668677278,-0.19204031050004655
lista,LISTA,dysts:ShimizuMorioka,500,0.0009812592013206428,0.0023838868697306573,0.4116215470541646,-0.38550189940572643
lista,LISTA,dysts:WangSun,500,0.013271874748170329,0.018022643934403112,0.7363999863991031,-0.1328862281891996
lista,LISTA,dysts:Chua,1000,0.002813382739467214,0.0070011597126722,0.40184524492063095,-0.39594116636049526
lista,LISTA,dysts:Dadras,1000,0.02510524913668627,0.09519686390246661,0.2637192876690529,-0.5788581059975653
lista,LISTA,dysts:DequanLi,1000,0.009629381820559458,0.017654003043259845,0.5454503319707922,-0.26324478959090225
lista,LISTA,dysts:Hadley,1000,0.008343252087277986,0.012094187350677557,0.6898563620159703,-0.1612413261869961
lista,LISTA,dysts:LuChenCheng,1000,0.0026404413594198575,0.010128569855753843,0.26069241729323456,-0.5838716008823
lista,LISTA,dysts:QiChen,1000,0.0055123179751847004,0.048707854268806285,0.1131710287372467,-0.9462647363092739
lista,LISTA,dysts:Sakarya,1000,0.038645086277808396,0.14673280449850215,0.2633704604085509,-0.5794329370468996
lista,LISTA,dysts:SanUmSrisuchinwong,1000,0.015502685947077571,0.01956173990453987,0.7925003615593377,-0.10100053097369428
lista,LISTA,dysts:ShimizuMorioka,1000,0.0035192563664167434,0.0075389690298054285,0.4668087045461137,-0.33086105429526513
lista,LISTA,dysts:WangSun,1000,0.07083453663757866,0.08992772123643324,0.7876829932267962,-0.10364853123182793
lista,LISTA,dysts:Chua,1500,0.005817045191568914,0.01605246295886377,0.3623771134981431,-0.4408392386865374
lista,LISTA,dysts:Dadras,1500,0.05868637615016524,0.2184133891548429,0.26869404104415906,-0.5707419650157948
lista,LISTA,dysts:DequanLi,1500,0.01942490214215852,0.039100420262132306,0.4967952265457108,-0.3038225857276457
lista,LISTA,dysts:Hadley,1500,0.017852812207170842,0.0251167352710451,0.7107935014050889,-0.14825655148689892
lista,LISTA,dysts:LuChenCheng,1500,0.005563982629350199,0.02337314614227837,0.23805022205743298,-0.6233314090717523
lista,LISTA,dysts:QiChen,1500,0.015745908953249416,0.12993775308132166,0.12118040045986346,-0.9165676166420839
lista,LISTA,dysts:Sakarya,1500,0.09451276330011227,0.27979411291224615,0.3377939668435947,-0.47134811139595695
lista,LISTA,dysts:SanUmSrisuchinwong,1500,0.034706645246062914,0.04763759672641749,0.7285557549299354,-0.13753720692506968
lista,LISTA,dysts:ShimizuMorioka,1500,0.006906815205833686,0.013914762064814514,0.4963660300953738,-0.3041979480575614
lista,LISTA,dysts:WangSun,1500,0.202799063708101,0.40745570404188974,0.4977205170927037,-0.3030144563496289
lista,LISTA,dysts:Chua,2000,0.0096108878829649,0.029301408944385342,0.32800087877025147,-0.48412499273783366
lista,LISTA,dysts:Dadras,2000,0.10795802410159785,0.42989498376846313,0.2511265033967991,-0.6001074502835966
lista,LISTA,dysts:DequanLi,2000,0.03481411162231646,0.0725512163979666,0.4798556571587984,-0.3188893808052634
lista,LISTA,dysts:Hadley,2000,0.0319608149251767,0.04259937389620707,0.7502648983304049,-0.12478537184653848
lista,LISTA,dysts:LuChenCheng,2000,0.01058977303494294,0.04089453310838763,0.25895326905617455,-0.5867786020274497
lista,LISTA,dysts:QiChen,2000,0.04344254146729192,0.2517386717455728,0.1725699955674606,-0.763034712052073
lista,LISTA,dysts:Sakarya,2000,0.2171143293380737,0.5067468902894429,0.42844728502243534,-0.36810260485445595
lista,LISTA,dysts:SanUmSrisuchinwong,2000,0.07080986989395953,0.10913128725119996,0.6488503130268074,-0.18785548151157644
lista,LISTA,dysts:ShimizuMorioka,2000,0.0117715871892869,0.023799289150961727,0.49461927684555285,-0.3057289618434802
lista,LISTA,dysts:WangSun,2000,0.43390774726867676,0.7348621189594269,0.5904614431386055,-0.22880845635504335
lista,LISTA,dysts:Chua,3000,0.020530645602515725,0.06270882380860188,0.32739643889955244,-0.4849260487319114
lista,LISTA,dysts:Dadras,3000,0.32020972456250874,0.8405160648482186,0.38096800043950685,-0.4191115015322048
lista,LISTA,dysts:DequanLi,3000,0.09901073149272369,0.19479726254940033,0.5082757847668147,-0.29390058042647316
